"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.350672083E0,1.992769539E-3,4.434462637E-2,2.950241804E0,2.950575727E0
2.360679083E0,4.875109065E-3,3.893894330E-2,2.913224220E0,2.913488522E0
2.370687083E0,-4.485636018E-3,4.436113685E-2,2.869926691E0,2.870273026E0
2.380694083E0,7.826956920E-3,6.849763542E-2,2.808785677E0,2.809631678E0
2.390702083E0,-2.388130408E-3,5.107044056E-2,2.753529787E0,2.754004390E0
2.400709083E0,-1.714883256E-3,3.390157223E-2,2.704961538E0,2.705174520E0
2.410717083E0,1.192755997E-3,5.283984542E-2,2.681725740E0,2.682246525E0
2.420724083E0,-4.353809170E-3,3.562596813E-2,2.711033583E0,2.711271151E0
2.430731083E0,4.911860451E-3,3.984228522E-2,2.774245739E0,2.774536169E0
2.440739083E0,-8.413799107E-3,2.280684561E-2,2.837718725E0,2.837822846E0
2.450746083E0,-1.410217606E-3,5.352267995E-2,2.890977621E0,2.891473374E0
2.460754083E0,2.668147441E-3,4.113578424E-2,2.917108774E0,2.917400019E0
2.470761083E0,1.374916290E-3,4.378429800E-2,2.933045864E0,2.933372973E0
2.480769083E0,6.797911134E-3,5.255781487E-2,2.934038877E0,2.934517451E0
2.490776083E0,1.926190685E-3,6.069803610E-2,2.930520058E0,2.931149223E0
2.500784083E0,5.229309201E-3,4.844482988E-2,2.920155525E0,2.920562024E0
2.510791083E0,6.892453413E-3,5.981705710E-2,2.920814753E0,2.921435333E0
2.520799083E0,-3.853401635E-3,4.677875713E-2,2.949561119E0,2.949934558E0
2.530806083E0,2.355225850E-3,5.166032910E-2,2.985555887E0,2.986003733E0
2.540814083E0,-1.387580647E-3,4.631190374E-2,3.019076824E0,3.019432329E0
2.550821083E0,-6.234000903E-3,2.736697719E-2,3.041507006E0,3.041636513E0
2.560829083E0,-8.117388934E-3,3.249915317E-2,3.041549683E0,3.041734137E0
2.570836083E0,5.919468822E-4,4.258347675E-2,2.994458437E0,2.994761265E0
2.580844083E0,1.285500452E-2,7.850899547E-2,2.915079594E0,2.916164939E0
2.590851083E0,8.249067701E-3,4.929171503E-2,2.814760447E0,2.815204094E0
2.600859083E0,-1.961225644E-3,2.929164283E-2,2.740588665E0,2.740745898E0
2.610866083E0,4.536621273E-3,4.842751846E-2,2.718853951E0,2.719288990E0
2.620874083E0,9.098083712E-3,5.879200622E-2,2.748553753E0,2.749197521E0
2.630881083E0,-1.553361071E-4,4.390041158E-2,2.806424379E0,2.806767726E0
2.640889083E0,-9.771478362E-3,2.290831134E-2,2.880214214E0,2.880321891E0
2.650896083E0,5.844233092E-3,4.800780490E-2,2.933178902E0,2.933577572E0
2.660904083E0,1.201317925E-2,5.054925755E-2,2.950593948E0,2.951051371E0
2.670911083E0,1.272983570E-2,6.311511993E-2,2.926520824E0,2.927229014E0
2.680919083E0,5.038360599E-3,6.830695271E-2,2.882194281E0,2.883007994E0
2.690926083E0,-9.509423748E-3,4.554091766E-2,2.832056999E0,2.832439099E0
2.700934083E0,1.382106799E-3,3.902283311E-2,2.782895088E0,2.783169015E0
2.710941083E0,5.555546377E-3,4.441307113E-2,2.737863302E0,2.738229144E0
2.720949083E0,-5.560456309E-3,2.356379665E-2,2.714477539E0,2.714585508E0
2.730956083E0,-5.651003681E-3,4.534526169E-2,2.765759706E0,2.766137177E0
2.740964083E0,4.579262808E-3,5.142339319E-2,2.870927811E0,2.871391967E0
2.750971083E0,1.268953783E-3,4.716233164E-2,2.985431671E0,2.985804441E0
2.760979083E0,1.008268539E-2,6.886842847E-2,3.023069382E0,3.023870534E0
2.770986083E0,6.186098326E-4,4.831414670E-2,3.002989769E0,3.003378463E0
2.780994083E0,3.235315671E-4,5.179437250E-2,2.998205185E0,2.998652546E0
2.791001083E0,1.093862578E-2,5.731510371E-2,3.016464949E0,3.017029244E0
2.801008125E0,3.542228136E-3,4.342804849E-2,3.049379110E0,3.049690394E0
2.811016125E0,1.449421141E-2,7.024235278E-2,3.066591501E0,3.067430114E0
2.821023125E0,6.530827377E-3,6.138547510E-2,3.080368519E0,3.080987024E0
2.831031125E0,7.344956044E-3,6.675787270E-2,3.107901573E0,3.108627149E0
2.841038125E0,7.665866986E-3,8.943122625E-2,3.180458784E0,3.181725128E0
2.851046125E0,1.196101308E-2,1.021949574E-1,3.249243975E0,3.250872695E0
2.861053125E0,-1.596862264E-2,2.216563746E-2,3.310163975E0,3.310276703E0
2.871061125E0,-7.973280735E-3,3.948310763E-2,3.384260178E0,3.384499880E0
2.881068125E0,4.626933485E-3,5.930741131E-2,3.471281767E0,3.471791451E0
2.891076125E0,-4.386534914E-3,5.757316202E-2,3.528577328E0,3.529049712E0
2.901083125E0,-7.079256698E-3,6.421402097E-2,3.541551113E0,3.542140291E0
2.911091125E0,7.191824261E-3,7.518997043E-2,3.548531771E0,3.549335569E0
2.921098125E0,-4.278144334E-3,3.923223913E-2,3.583274364E0,3.583491683E0
2.931106125E0,4.580328241E-3,5.490867049E-2,3.615995646E0,3.616415414E0
2.941113125E0,-4.493178567E-4,5.602799356E-2,3.650943518E0,3.651373428E0
2.951121125E0,-1.019275840E-2,3.876804560E-2,3.688215256E0,3.688433086E0
2.961128125E0,2.626100555E-3,6.456156075E-2,3.718801022E0,3.719362328E0
2.971136125E0,-7.780467160E-3,5.718327314E-2,3.714756012E0,3.715204260E0
2.981143125E0,1.410858613E-2,9.155242890E-2,3.684762001E0,3.685926193E0
2.991151125E0,-6.576452404E-3,5.260077119E-2,3.651044369E0,3.651429182E0
3.001158125E0,4.151293077E-3,6.167895347E-2,3.627601147E0,3.628127838E0
3.011166125E0,1.214891672E-3,6.150212139E-2,3.648806334E0,3.649324821E0
3.021173125E0,1.466225740E-2,1.096709818E-1,3.723117113E0,3.724760898E0
3.031181125E0,-6.497089751E-3,3.158204257E-2,3.827980280E0,3.828116072E0
3.041188125E0,-3.110081889E-3,3.071278520E-2,3.962365866E0,3.962486114E0
3.051196125E0,-8.642381290E-4,7.329007238E-2,4.082102299E0,4.082760262E0
3.061203125E0,4.782994743E-3,7.764300704E-2,4.184887409E0,4.185610343E0
3.071211125E0,4.936659243E-3,8.049445599E-2,4.251250267E0,4.252015118E0
